Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss,,
51,6,49.98929597,47.98929597,2.561801613,0.791998584,71.27590464,72.52590464,2.722060212,0.734395621,0,0,0,0,,
52,6,49.47439327,47.97439327,2.357151662,1.301594464,70.35640983,72.10640983,3.304713341,1.404869338,0,0,0,0,,
53,4,48.57658112,47.82658112,2.904954211,1.188537129,70.61372145,72.03038812,2.239135683,0.963958853,0,0,0,0,,
54,23,49.13108281,47.96441614,3.370362462,1.032966271,70.27637899,72.44304566,2.532123675,1.279598606,0,0,0,0,,
55,20,50.20640053,47.95640053,2.916336031,0.500558955,70.31454384,72.14787717,2.556416049,1.390510475,0,0,0,0,,
56,80,50.104432,47.68776534,2.713882578,0.590385063,69.58834255,72.42167588,2.030619839,1.93954401,0,0,0,1,,
57,80,50.00934405,48.42601072,3.428992312,1.86459596,70.15549872,72.65549872,2.452255283,1.813637012,1,1,0,1,,
58,6,48.88100873,47.96434207,2.999341384,1.036100618,70.63170851,72.13170851,2.48481895,1.237133018,0,0,0,0,,
59,22,50.81603192,47.89936526,3.201936253,0.765824717,68.86728257,72.36728257,2.164825883,1.422407909,0,0,0,0,,
60,80,50.86805726,48.11805726,2.157456995,1.492881804,70.09456416,72.84456416,3.320674955,0.544717678,1,0,0,0,,
61,80,49.24919659,47.99919659,2.895831264,0.88557385,69.68512195,72.43512195,3.044844375,1.501270277,0,0,0,1,,
62,8,50.1722008,47.9222008,2.592797933,1.129935651,69.2485674,72.08190073,2.454142475,1.166922955,0,0,0,0,,
63,80,50.64037874,47.64037874,3.21907532,0.715899867,70.6057045,72.3557045,3.31754533,1.865267751,0,0,0,1,,
64,21,49.88553457,47.96886791,2.076861355,0.427501157,69.26323995,72.34657328,2.457709704,1.482360773,0,0,0,0,,
65,21,49.21296697,47.87963364,2.7110309,0.660906073,70.55865695,72.55865695,2.990512891,1.362229622,0,0,0,0,,
66,80,50.62205712,48.37205712,3.141022491,1.574504007,70.95561927,72.78895261,3.061299666,0.522356755,1,0,0,0,,
67,80,49.2233347,47.9733347,2.775445603,0.345335425,69.58427044,72.41760377,3.024898845,1.650415774,0,0,0,1,,
68,80,51.38558109,48.46891443,3.296967712,1.923227915,70.35137885,72.76804552,2.603111542,0.343025949,1,1,0,0,,
69,80,49.21332677,48.0466601,2.939679126,0.984643858,70.41718127,72.33384793,2.790221332,1.982844943,1,0,0,1,,
