Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
66,80,50.2276416361,48.2276416361,2.61530489471,1.80076047021,71.2329735181,73.0663068514,3.28773344654,0.644984884405,1,1,1,0
67,80,49.6110383366,47.7777050032,3.4240540411,0.779175364723,68.9172924412,71.6672924412,3.07545517208,2.90691741825,0,0,1,1
68,80,50.9038216015,48.1538216015,2.37391150112,1.67351758194,70.7114838658,72.7114838658,2.59573003784,1.39259762911,1,0,0,0
69,80,50.9342923624,47.850959029,3.48407636187,0.347028438221,69.3177938444,71.984460511,2.83900831282,2.03904908634,0,0,1,1
70,9,50.2930004692,47.9596671359,3.1372126907,0.685440453469,70.5455763938,72.7955763938,3.18949915868,0.807942589537,0,0,0,0
71,80,50.6321673317,48.1321673317,2.96255266425,1.5131988423,70.3238174134,72.4904840801,3.25911853249,1.79823680595,1,0,0,1
72,80,51.3354187286,48.0020853952,2.6791354428,1.12850100787,70.3597921339,72.0264588005,3.34884782475,1.77936308714,1,0,0,1
73,7,50.7953584069,47.9620250736,2.49345134603,0.847277389097,68.6568512069,72.0735178736,1.6256451341,1.18950151408,0,0,0,0
74,80,49.9482989204,48.364965587,2.82799695405,1.86820243339,70.1516982338,72.8183649004,2.45777014041,0.469886826521,1,1,0,0
75,6,49.6157967109,47.9491300443,1.69470697618,1.12550850329,71.8337211679,72.6670545012,2.61460131814,1.35940132142,0,0,0,0
76,80,49.0722813282,47.9889479949,2.77114579209,0.700038568629,69.9886907332,71.8220240665,2.88109265414,2.02815511554,0,0,1,1
77,80,50.0104284925,47.5937618258,3.15757978253,0.446029454501,70.1839607548,72.6006274215,2.39801182175,1.77401938896,0,0,0,1
78,80,49.4826436273,47.9826436273,2.95445747397,0.893143632919,68.7357298317,70.2357298317,2.2879342886,2.655393891,0,0,1,1
79,80,49.676872526,47.7602058593,2.69789911483,0.323565789849,68.9024968173,72.4024968173,2.79700057057,2.17247303996,0,0,0,1
80,9,50.3799342129,47.9632675462,2.62014127224,0.80784503671,69.0828735797,72.4162069131,3.1774455458,1.25422503618,0,0,0,0
81,80,50.6246672573,48.0413339239,3.0558917247,1.66465215148,68.8963507213,71.8963507213,2.95650777502,1.43068164367,1,0,1,0
82,80,49.6036074279,47.9369407612,3.14483330999,0.573101479069,70.2037271701,71.7037271701,2.88206940564,2.13128028546,0,0,1,1
83,80,50.8509180712,48.1009180712,2.26311359762,1.40686267909,70.2797642934,72.5297642934,2.72794905715,1.0823739277,1,0,0,0
84,6,50.8119385648,47.9786052314,3.04098208468,1.00124041408,71.3789647803,72.4622981136,2.70707145375,0.950690831171,0,0,0,0
85,80,52.512834508,48.012834508,2.42723407919,1.36681296761,69.2993720205,72.5493720205,2.2376781464,0.657929186291,1,0,0,0
86,8,50.3182535541,47.9849202208,2.89694238105,0.986483826428,69.4276646103,72.0109979436,2.28625931017,0.923613876287,0,0,0,0
87,80,50.9911022031,47.8244355365,2.06489738185,0.504096115955,68.4736522964,72.3903189631,2.75369108945,1.75095099856,0,0,0,1
88,80,50.3617254955,48.1950588288,2.94698496094,1.78057215095,69.7934536447,71.4601203114,3.0715351989,2.82432836143,1,1,1,1
89,7,49.2097993917,47.9597993917,2.53662887614,0.386671730647,70.4752346136,72.7252346136,2.91498117046,0.88962841306,0,0,0,0
90,21,49.8232859886,47.9899526552,2.34706325777,0.942800322085,71.1985251981,72.5318585314,2.83235537904,1.48358516332,0,0,0,0
91,80,49.3966805059,47.8966805059,2.66302536396,0.996151119663,69.1749322643,72.6749322643,3.02708026539,1.87936710311,0,0,0,1
